survey_year,awardee_id,vaccine_type_code,vaccine_type,vaccine_patient_type,doses_ordered,doses_wasted,reported_loss_pct,calculated_loss_pct,reported_minus_calculated_pct,included_in_standard_analysis,synthetic_data_notice
2024,SYN-AWD-001,dtap,DTaP,All publicly funded doses,0,0,,,,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-001,dtap_ipv,DTaP-IPV,All publicly funded doses,6624,249,3.948,3.759,0.188,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-001,dtap_hepb_ipv,DTaP-HepB-IPV,All publicly funded doses,9494,333,3.39,3.507,-0.117,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-001,dtap_ipv_hib,DTaP-IPV-Hib,All publicly funded doses,4966,252,4.951,5.075,-0.123,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-001,hepa_pediatric,HepA Pediatric,All publicly funded doses,25702,886,3.668,3.447,0.221,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-001,hepa_hepb,HepA-HepB,All publicly funded doses,2596,95,3.594,3.659,-0.066,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-001,hepb_pediatric,HepB Pediatric,All publicly funded doses,29170,917,3.164,3.144,0.02,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-001,hib,Hib,All publicly funded doses,21550,543,2.812,2.52,0.292,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-001,hpv,HPV,All publicly funded doses,32840,809,2.441,2.463,-0.023,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-001,mmr,MMR,All publicly funded doses,21287,561,2.784,2.635,0.149,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-001,pcv,PCV,All publicly funded doses,25517,1149,4.431,4.503,-0.072,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-001,ppv23,PPSV23,All publicly funded doses,3987,204,5.231,5.117,0.115,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-001,polio,Polio,All publicly funded doses,22624,610,3.038,2.696,0.341,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-001,rota,Rotavirus,All publicly funded doses,23679,1188,4.932,5.017,-0.085,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-001,td,Td,All publicly funded doses,3335,153,4.926,4.588,0.338,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-001,tdap,Tdap,All publicly funded doses,26141,470,1.692,1.798,-0.106,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-001,varicella,Varicella,All publicly funded doses,22752,565,,2.483,,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-001,mmrv,MMRV,All publicly funded doses,4994,188,4.303,3.765,0.539,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-001,menb,MenB,All publicly funded doses,13432,697,5.012,5.189,-0.178,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-001,dengue,Dengue,All publicly funded doses,0,0,,,,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-001,dtap_ipv_hib_hepb,DTaP-IPV-Hib-HepB,All publicly funded doses,7795,208,2.513,2.668,-0.155,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-001,menabcwy,MenABCWY,All publicly funded doses,0,0,,,,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-001,menacwy,MenACWY,All publicly funded doses,20901,625,2.828,2.99,-0.162,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-001,nirsevimab,Nirsevimab,All publicly funded doses,13242,818,6.287,6.177,0.11,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-001,mpox,Mpox,All publicly funded doses,0,0,,,,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-001,rsv_maternal,RSV Maternal,All publicly funded doses,0,0,,,,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-001,covid,COVID-19,All publicly funded doses,21941,1549,7.103,7.06,0.043,0,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-001,influenza,Influenza,All publicly funded doses,51361,8102,15.79,15.775,0.015,0,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-002,dtap,DTaP,Public pediatric doses,15080,456,,3.024,,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-002,dtap_ipv,DTaP-IPV,Public pediatric doses,5374,132,2.262,2.456,-0.194,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-002,dtap_hepb_ipv,DTaP-HepB-IPV,Public pediatric doses,7108,154,2.336,2.167,0.17,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-002,dtap_ipv_hib,DTaP-IPV-Hib,Public pediatric doses,2306,104,4.511,4.51,0.001,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-002,hepa_pediatric,HepA Pediatric,Public pediatric doses,11266,236,2.101,2.095,0.006,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-002,hepa_hepb,HepA-HepB,Public pediatric doses,0,0,,,,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-002,hepb_pediatric,HepB Pediatric,Public pediatric doses,12492,395,3.075,3.162,-0.087,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-002,hib,Hib,Public pediatric doses,10952,158,1.279,1.443,-0.164,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-002,hpv,HPV,Public pediatric doses,13492,509,3.813,3.773,0.041,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-002,mmr,MMR,Public pediatric doses,13374,546,4.277,4.083,0.195,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-002,pcv,PCV,Public pediatric doses,14632,443,,3.028,,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-002,ppv23,PPSV23,Public pediatric doses,1913,82,4.162,4.286,-0.125,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-002,polio,Polio,Public pediatric doses,10807,376,3.389,3.479,-0.09,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-002,rota,Rotavirus,Public pediatric doses,10619,419,3.855,3.946,-0.091,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-002,td,Td,Public pediatric doses,1202,29,2.202,2.413,-0.21,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-002,tdap,Tdap,Public pediatric doses,13030,408,3.093,3.131,-0.038,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-002,varicella,Varicella,Public pediatric doses,11708,440,3.82,3.758,0.062,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-002,mmrv,MMRV,Public pediatric doses,2397,148,6.183,6.174,0.008,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-002,menb,MenB,Public pediatric doses,6421,179,2.82,2.788,0.032,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-002,dengue,Dengue,Public pediatric doses,430,19,4.216,4.419,-0.202,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-002,dtap_ipv_hib_hepb,DTaP-IPV-Hib-HepB,Public pediatric doses,3588,164,4.59,4.571,0.019,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-002,menabcwy,MenABCWY,Public pediatric doses,1503,82,5.373,5.456,-0.083,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-002,menacwy,MenACWY,Public pediatric doses,0,0,,,,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-002,nirsevimab,Nirsevimab,Public pediatric doses,7178,363,,5.057,,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-002,mpox,Mpox,Public pediatric doses,0,0,,,,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-002,rsv_maternal,RSV Maternal,Public pediatric doses,0,0,,,,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-002,covid,COVID-19,Public pediatric doses,11885,1120,9.142,9.424,-0.281,0,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-002,influenza,Influenza,Public pediatric doses,24253,3900,16.112,16.08,0.031,0,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-003,dtap,DTaP,VFC pediatric doses only,13401,340,2.64,2.537,0.103,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-003,dtap_ipv,DTaP-IPV,VFC pediatric doses only,3980,81,2.034,2.035,-0.001,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-003,dtap_hepb_ipv,DTaP-HepB-IPV,VFC pediatric doses only,4208,137,3.405,3.256,0.149,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-003,dtap_ipv_hib,DTaP-IPV-Hib,VFC pediatric doses only,2117,72,3.212,3.401,-0.189,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-003,hepa_pediatric,HepA Pediatric,VFC pediatric doses only,9734,391,3.859,4.017,-0.158,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-003,hepa_hepb,HepA-HepB,VFC pediatric doses only,1309,29,2.591,2.215,0.376,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-003,hepb_pediatric,HepB Pediatric,VFC pediatric doses only,12059,346,2.47,2.869,-0.399,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-003,hib,Hib,VFC pediatric doses only,8837,534,5.934,6.043,-0.109,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-003,hpv,HPV,VFC pediatric doses only,14744,289,2.066,1.96,0.106,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-003,mmr,MMR,VFC pediatric doses only,9661,353,3.866,3.654,0.212,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-003,pcv,PCV,VFC pediatric doses only,12627,229,1.904,1.814,0.091,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-003,ppv23,PPSV23,VFC pediatric doses only,1826,66,3.57,3.614,-0.045,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-003,polio,Polio,VFC pediatric doses only,9911,247,2.146,2.492,-0.346,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-003,rota,Rotavirus,VFC pediatric doses only,7722,561,7.406,7.265,0.141,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-003,td,Td,VFC pediatric doses only,1393,50,,3.589,,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-003,tdap,Tdap,VFC pediatric doses only,10736,368,3.648,3.428,0.221,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-003,varicella,Varicella,VFC pediatric doses only,9560,387,3.93,4.048,-0.118,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-003,mmrv,MMRV,VFC pediatric doses only,2213,107,5.059,4.835,0.224,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-003,menb,MenB,VFC pediatric doses only,5440,271,5.105,4.982,0.123,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-003,dengue,Dengue,VFC pediatric doses only,422,29,6.772,6.872,-0.1,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-003,dtap_ipv_hib_hepb,DTaP-IPV-Hib-HepB,VFC pediatric doses only,2525,88,3.599,3.485,0.113,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-003,menabcwy,MenABCWY,VFC pediatric doses only,1043,52,5.235,4.986,0.249,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-003,menacwy,MenACWY,VFC pediatric doses only,10397,305,2.631,2.934,-0.303,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
