awardee_id,total_doses_ordered,total_doses_wasted,loss_pct_all_vaccines,standard_doses_ordered,standard_doses_wasted,loss_pct_excluding_covid_flu,incident_dose_grand_total,awardee_name,awardee_type,region,total_staff_count,total_staff_trained,total_staff_training_gap,requires_vaccine_replacement,replacement_method,esw_data_source,vsh_data_source,waste_vs_incident_dose_difference,reconciliation_flag,synthetic_data_notice
SYN-AWD-055,198760,11673,5.873,164557,6687,4.064,12241,Synthetic Immunization Program 055,Large City Immunization Program,West,45,35,10,1,Dose or dollar replacement,Mixed/manual reconciliation,Mixed/manual reconciliation,-568,Review discrepancy,All data are synthetic and generated solely for portfolio demonstration purposes.
SYN-AWD-004,141364,8251,5.837,120615,4310,3.573,8610,Synthetic Immunization Program 004,State Immunization Program,Territories,25,19,6,1,Dose or dollar replacement,Mixed/manual reconciliation,PEAR/VFC oversight system,-359,Review discrepancy,All data are synthetic and generated solely for portfolio demonstration purposes.
SYN-AWD-025,213190,11600,5.441,176540,6563,3.718,11600,Synthetic Immunization Program 025,State Immunization Program,Midwest,43,38,5,0,Not applicable,Mixed/manual reconciliation,IIS or inventory system,0,Matched,All data are synthetic and generated solely for portfolio demonstration purposes.
SYN-AWD-057,56785,3046,5.364,46963,1578,3.36,3046,Synthetic Immunization Program 057,Territorial Immunization Program,West,34,28,6,1,Dose-for-dose replacement,IIS aggregate report,Awardee spreadsheet,0,Matched,All data are synthetic and generated solely for portfolio demonstration purposes.
SYN-AWD-034,220158,11442,5.197,184325,5964,3.236,11442,Synthetic Immunization Program 034,State Immunization Program,West,41,30,11,1,Dose-for-dose replacement,Awardee inventory system,Mixed/manual reconciliation,0,Matched,All data are synthetic and generated solely for portfolio demonstration purposes.
SYN-AWD-046,145244,7526,5.182,123348,4661,3.779,7526,Synthetic Immunization Program 046,State Immunization Program,South,24,18,6,1,Other,VTrckS extract,IIS or inventory system,0,Matched,All data are synthetic and generated solely for portfolio demonstration purposes.
SYN-AWD-019,165700,8518,5.141,137956,4926,3.571,8518,Synthetic Immunization Program 019,State Immunization Program,Territories,35,28,7,0,Not applicable,Mixed/manual reconciliation,IIS or inventory system,0,Matched,All data are synthetic and generated solely for portfolio demonstration purposes.
SYN-AWD-002,213010,10862,5.099,176872,5842,3.303,10862,Synthetic Immunization Program 002,State Immunization Program,Northeast,35,30,5,1,Dollar repayment,IIS aggregate report,PEAR/VFC oversight system,0,Matched,All data are synthetic and generated solely for portfolio demonstration purposes.
SYN-AWD-052,144757,7374,5.094,120784,4461,3.693,7374,Synthetic Immunization Program 052,Large City Immunization Program,Midwest,35,30,5,1,Dose-for-dose replacement,Mixed/manual reconciliation,Awardee spreadsheet,0,Matched,All data are synthetic and generated solely for portfolio demonstration purposes.
SYN-AWD-001,415930,21171,5.09,342628,11520,3.362,20279,Synthetic Immunization Program 001,State Immunization Program,Northeast,72,59,13,0,Not applicable,Awardee inventory system,IIS or inventory system,892,Review discrepancy,All data are synthetic and generated solely for portfolio demonstration purposes.
